Year,Month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA
1999,1,18049,2278,11137,11952,49642,19327,3203,1128,18170,12396,0,4763,13294,15337,2592,8023,17909,12849,2319,3695,843,8377,4821,12436,13490,4276,1780,4724,1464,2488,6671,6220,13067,1340,16731,12089,9612,31538,834,9526,1389,18473,45200,5055,1043,13981,7820,8260,7780,2113,501504
1999,2,20583,2413,12716,15338,51756,22101,3539,1077,20957,22189,0,5146,16411,15961,2759,7694,22311,14060,2745,3674,1016,10093,6692,15882,16814,5009,1662,4869,1465,2609,7686,7353,15307,1600,23524,14651,11276,38744,786,12231,1685,23304,49704,5933,1668,16020,8454,11200,10578,2492,593737
1999,3,19424,3206,12792,13694,60736,17040,4176,1314,21988,19846,0,6053,18213,16938,3042,8992,20740,14239,3379,3942,1422,12430,9876,13857,17563,6106,1805,5363,1865,3269,8341,9084,13987,2055,24939,13343,13267,50380,925,11476,1852,23035,48253,6021,1941,17142,9192,10856,14891,2605,626895
1999,4,14823,3929,12636,11130,53204,11512,3942,1081,18174,15542,0,5614,14540,16525,2332,6682,17439,10733,2765,3227,1391,11091,9264,10735,15281,5844,1524,4785,2935,3023,7082,9209,11662,1748,22586,12221,12486,42539,806,8840,1783,17000,40782,5987,1599,13904,7971,9902,14936,2543,537289
1999,5,14043,3278,11330,9536,52888,10451,3619,1095,17938,14672,0,5268,12418,15176,1659,5975,13777,10248,2490,2755,1149,8702,7164,9395,11831,5203,1328,4667,2779,2717,6475,6675,10282,1747,18019,10631,11186,36280,762,8356,1491,15515,40099,5333,1156,13704,7898,7360,10694,2403,479617
1999,6,14651,3201,10854,10128,56262,10842,3019,918,18467,14527,0,4827,11283,14030,1692,6027,14373,11232,2256,2979,1171,7838,7825,9781,11666,5236,1344,4520,2504,2743,6806,5753,11073,1621,16514,10679,11036,33929,719,8184,1464,16197,39834,4393,1142,13138,8281,7481,9133,2426,475999
1999,7,14795,3744,11291,10490,56583,10756,2959,901,18500,15315,4,5009,11734,12594,1908,6148,15838,12224,2758,3127,1288,9378,8296,11045,11503,5173,1499,4521,2939,2727,6546,6075,11447,1947,17398,10499,11891,34381,749,9239,1773,17775,44558,4538,1320,14211,8152,8507,9754,2429,498236
1999,8,17095,4243,11909,13077,61460,20582,3593,1270,18905,18303,0,5596,13891,15226,2954,7834,18205,14292,4036,3596,1597,13901,15832,13121,14727,5995,2299,4839,3514,3118,7147,8693,14853,2710,22262,12145,11452,41888,837,11327,2730,19662,52461,5330,1752,15149,9352,9226,13962,2872,600820
1999,9,20181,3623,12500,16712,62418,25074,3770,1508,19137,19877,0,7833,14118,15027,4907,8454,19990,19591,6213,4429,1827,22309,23407,14959,17471,7592,3274,5328,4198,3056,7656,12725,16809,4149,25418,13792,15553,43473,860,12189,3959,19384,61027,7355,2603,17429,11204,11904,21306,3509,701087
1999,10,22484,5723,13410,18909,69951,32436,4771,1930,22896,25857,0,8027,16831,19328,6890,11495,23993,21964,8503,5941,2499,24410,24308,18299,23087,9588,4965,5044,4972,3641,9754,15515,21476,4745,29770,16106,13688,55596,1102,12450,5524,23761,63426,8016,3129,20783,14336,16359,24664,3254,825606
1999,11,29445,3169,12180,23692,79997,30809,4398,2403,26158,25302,0,6057,20489,22242,7552,13783,28229,23991,4744,8123,2539,29064,14770,23713,24418,5777,4635,5350,4286,4460,8119,16373,26053,2856,38940,19020,18094,65270,1072,14527,3713,28471,66103,7607,2440,23033,10785,17481,22690,2809,887231
1999,12,41183,4264,20166,25686,127115,45396,4314,2969,39534,44387,0,8505,25019,24798,7774,15001,35408,30592,4952,8344,2764,26416,15891,28891,28780,7228,5447,8365,4776,4661,12123,15461,35456,3214,41496,24255,20817,57442,1225,21670,3964,41637,97301,12150,2425,29812,16414,15911,18952,4128,1124479
2000,1,17860,2149,10758,11788,45541,23611,6,1057,19178,16906,0,4312,13444,14663,2607,7987,17459,12767,2606,3043,1768,10190,7635,12200,14172,4407,1766,4238,2733,2602,6299,6267,12795,1708,20200,11957,9658,34599,774,9342,1997,18928,43667,4611,1123,13636,7839,8589,10368,2196,516006
2000,2,19309,2620,12185,15649,45565,24811,0,1133,20590,19331,0,5322,13844,14732,2829,8219,21621,13280,2723,3538,2147,11173,9677,15169,16932,5301,1732,4432,2650,2778,7687,7084,15180,1901,24204,14962,11551,37513,853,11052,2288,21178,47586,5831,1590,15794,9146,11546,13013,2688,581939
2000,3,16992,3054,12255,13091,49556,27655,0,1251,20224,17433,0,5562,14398,15093,2899,8355,19364,12336,3514,3511,2547,12233,13129,12341,16401,6002,1719,4424,3318,3263,7724,8923,12973,2431,24696,12702,12463,48082,939,10049,2500,19940,45172,5549,1961,17908,10114,10854,16615,2683,596198
2000,4,13017,3432,10624,10228,47335,21777,6,1108,17554,12861,0,5112,11478,9487,2285,5896,16387,9776,2966,3251,2490,11429,11916,9143,14225,5744,1429,3963,3068,2985,6240,8495,10616,2210,21170,11516,10993,38820,784,7073,2300,14344,36447,4379,1708,13361,8390,9255,14440,2358,495871
2000,5,11832,3069,9387,8874,45163,17662,0,870,16610,11037,0,4568,9893,4466,1544,5493,12913,9064,2434,2456,1581,8675,7917,8458,10574,5222,1257,3799,2455,2744,5759,5892,8921,1671,15376,9323,9236,32349,669,6325,1901,12968,34399,4006,1222,11352,7633,7143,9922,2069,418153
2000,6,12944,2959,9501,9180,44150,20610,0,880,17684,12188,0,4400,9005,4578,1666,5205,13879,9653,2406,2645,1663,8883,8432,9220,11084,5325,1291,3611,2652,2924,6040,5389,10146,1729,15730,10371,9375,31118,682,6992,1905,12596,36038,3964,1129,11129,7805,7397,9160,2133,429446
2000,7,12449,3259,9545,8724,44850,19288,0,912,16818,12476,0,4376,9329,4507,1714,5153,13354,10187,2686,2912,1499,9731,8832,9271,10612,4646,1479,3585,2720,2571,5401,5674,10305,1718,14878,9467,8159,30932,595,7021,2094,16221,36590,3953,1206,11886,7758,7743,9498,1977,430561
2000,8,16403,3842,10946,12239,50801,25564,0,1042,19575,16131,0,5560,12230,6781,2892,6776,18049,13738,3651,3541,2004,13042,14321,13038,13907,5560,2095,3738,3215,3049,6678,7983,15577,2741,20887,11635,10244,34700,699,10800,3181,19446,51811,5111,1544,13970,9237,9060,14009,2531,555574
2000,9,19885,3553,11305,15124,47738,28961,0,1275,19988,18899,0,7774,12690,7448,4716,8008,20108,17801,5814,4719,2075,23493,23292,14049,16137,7913,3013,4303,4158,3012,7268,12410,17167,4044,24115,13080,15228,41591,754,10789,4695,19087,58520,7019,2231,16397,11769,12058,22239,3625,661337
2000,10,19647,5136,11158,16780,52059,30214,0,1612,22717,21641,0,6845,14398,8968,6264,10516,21371,19434,7569,5317,2530,23312,22736,15286,21208,8972,4833,3991,4508,3276,8509,14527,19283,4584,25035,14820,11427,48106,867,10762,6187,20078,56324,6522,2688,17457,12197,13650,24736,3010,713067
2000,11,27199,2926,10353,21524,66551,29504,0,2002,25304,23046,0,5593,16287,12475,7050,12176,25539,21321,4343,7206,2458,25973,12398,21595,22725,5138,4316,3845,4120,4110,7173,14808,24015,2734,34890,17563,11332,53752,957,13218,3717,26567,59768,5848,2181,21270,9502,16591,20647,2548,776158
2000,12,34362,3960,15038,19678,92052,37763,0,2205,33770,34866,0,7422,16415,11716,6004,12932,29852,25347,4316,6210,2464,20556,11976,24206,23599,6877,4616,5878,3945,3756,9256,12210,30453,2586,32981,19582,15578,45308,841,17803,3958,33315,78797,10627,1716,24348,12599,14371,15838,3766,887714
2001,1,17733,2408,10142,12091,46104,23652,1,1096,22018,16447,0,4513,11623,6265,2571,7760,17820,12131,2587,3251,2257,9790,7896,11451,14123,4339,1812,3674,2817,3187,6254,6526,14061,1716,19819,12757,9486,33830,768,9017,2306,17546,44404,4637,1030,13793,8600,9167,10043,2251,509570
2001,2,18828,2343,11534,14314,37682,23686,0,1077,21396,18298,0,5188,12680,7625,2745,7392,20955,12930,2633,3791,2163,11877,8638,14112,15936,5072,1684,3868,2709,2896,7537,7293,14776,1734,22710,14633,10516,35842,775,10172,2359,19682,45459,5574,1460,15198,9432,10842,13312,2470,545828
2001,3,18034,2912,11131,12759,43249,29322,2,1234,22191,17093,0,5481,13536,7457,3245,8141,20312,12527,3363,3758,2638,13755,12861,12301,16461,6175,1952,4324,3120,3413,7669,8042,13676,2124,24668,12997,12259,44628,779,9343,3066,20877,43405,5295,1750,15645,10178,11306,17988,2514,580956
2001,4,12565,3398,9538,8414,56735,23024,0,929,18123,11043,0,4581,10183,4743,2336,5507,14259,8474,3270,2921,2051,11219,11368,8356,12672,5704,1344,3392,3179,2703,5731,7759,9694,1959,18712,10669,10936,36068,720,6197,2292,12402,33125,4622,1615,11970,8683,8399,14239,2185,470008
2001,5,12138,2965,8937,8055,55552,21077,0,918,17526,10754,0,4420,8910,4778,1506,4860,12909,8720,2570,2365,1824,8457,7746,7929,10296,5144,1194,3516,2411,2690,5457,5955,9156,1627,15075,9219,9011,30480,598,6101,2030,12282,33563,3728,1031,11315,7925,7406,8868,2118,423112
2001,6,13220,2626,9014,8178,46694,21850,13,852,18145,11398,0,4193,8705,4575,1626,4899,13848,10172,2421,2958,1763,8739,7670,8824,10642,5138,1310,3555,2366,2416,5531,5207,10505,1670,15312,9283,10380,29091,580,6400,2174,12825,34614,4130,1059,11170,8686,7652,8425,2069,424573
2001,7,12972,3198,8848,8369,43959,21457,0,813,17825,11183,0,3994,8690,4452,1581,4842,13077,10495,2886,2640,1686,8240,8447,8578,10427,4664,1361,3490,2577,2139,5331,5498,10070,1619,13934,9212,8514,28342,566,6669,2238,12699,35604,3584,1193,11535,8195,7603,8840,2120,416256
2001,8,17684,3902,10687,12857,51398,28926,10,1101,21311,16299,0,5580,11971,6647,2594,7090,19612,15894,3994,3559,1992,13196,14602,13808,15539,6312,2131,3916,3032,2661,7009,7307,16597,2431,20725,13501,10921,35030,766,10439,3341,18714,55757,4901,1416,13733,10522,10176,13619,2916,578126
2001,9,21407,3784,13494,14836,57081,36988,4679,1764,28933,19983,0,7687,14510,8643,4588,8493,20022,18421,6996,5585,2850,24609,22574,12940,18019,8201,3076,5290,5051,3346,7704,15275,17699,4045,29848,14475,16492,49181,1163,11352,4961,19482,65326,7117,2506,17970,13909,12520,21972,3841,740688
