event,location,date,fatalities,injured,total_victims
Columbine High School massacre,"Littleton, Colorado",4/20/99,13,24,37
Atlanta day trading spree killings,"Atlanta, Georgia",7/29/99,12,13,25
Wedgwood Baptist Church shooting,"Fort Worth, Texas",9/15/99,7,7,14
Xerox killings,"Honolulu, Hawaii",11/2/99,7,0,7
Raddison Bay Harbor shooting,"Tampa, Florida",12/30/99,5,3,8
Wakefield massacre,"Wakefield, Massachusetts",12/26/00,7,0,7
Navistar shooting,"Melrose Park, Illinois",2/5/01,5,4,9
Lockheed Martin shooting,"Meridian, Mississippi",7/8/03,7,8,15
Damageplan show shooting,"Columbus, Ohio",12/8/04,5,3,8
Living Church of God shooting,"Brookfield, Wisconsin",3/12/05,8,4,12
Red Lake massacre,"Red Lake, Minnesota",3/21/05,9,5,14
Goleta postal shootings,"Goleta, California",1/30/06,8,0,8
Capitol Hill massacre,"Seattle, Washington",3/25/06,7,2,9
Amish school shooting,"Lancaster County, Pennsylvania",10/2/06,6,6,12
Trolley Square shooting,"Salt Lake City, Utah",2/12/07,6,4,10
Virginia Tech massacre,"Blacksburg, Virginia",4/16/07,32,23,55
Crandon shooting,"Crandon, Wisconsin",10/7/07,6,1,7
Westroads Mall shooting,"Omaha, Nebraska",12/5/07,9,4,13
Kirkwood City Council shooting,"Kirkwood, Missouri",2/7/08,6,2,8
Northern Illinois University shooting,"DeKalb, Illinois",2/14/08,5,21,26
Atlantis Plastics shooting,"Henderson, Kentucky",6/25/08,6,1,7
Carthage nursing home shooting,"Carthage, North Carolina",3/29/09,8,3,11
Binghamton shootings,"Binghamton, New York",4/3/09,14,4,18
Fort Hood massacre,"Fort Hood, Texas",11/5/09,13,31,44
Coffee shop police killings,"Parkland, Washington",11/29/09,4,1,5
Hartford Beer Distributor shooting,"Manchester, Connecticut",8/3/10,9,2,11
Tucson shooting,"Tucson, Arizona",1/8/11,6,13,19
IHOP shooting,"Carson City, Nevada",9/6/11,5,7,12
Seal Beach shooting,"Seal Beach, California",10/12/11,8,1,9
Su Jung Health Sauna shooting,"Norcross, Georgia",2/21/12,5,0,5
Oikos University killings,"Oakland, California",4/2/12,7,3,10
Seattle cafe shooting,"Seattle, Washington",5/30/12,5,1,6
Aurora theater shooting (Century 16 movie theater shooting),"Aurora, Colorado",7/20/12,12,70,82
Sikh temple shooting,"Oak Creek, Wisconsin",8/5/12,7,2,9
Accent Signage Systems shooting,"Minneapolis, Minnesota",9/27/12,6,2,8
Sandy Hook Elementary massacre,"Newtown, Connecticut",12/14/12,27,2,29
Mohawk Valley shootings,"Herkimer County, New York",3/13/13,5,2,7
Pinewood Village Apartment shooting,"Federal Way, Washington",4/21/13,5,0,5
Santa Monica rampage,"Santa Monica, California",6/7/13,6,3,9
Hialeah apartment shooting,"Hialeah, Florida",7/26/13,7,0,7
Washington Navy Yard shooting,"Washington, D.C.",9/16/13,12,8,20
Alturas tribal shooting,"Alturas, California",2/20/14,4,2,6
Fort Hood shooting 2,"Fort Hood, Texas",4/2/14,3,12,15
Isla Vista mass murder,"Santa Barbara, California",5/23/14,6,13,19
Marysville-Pilchuck High School shooting,"Marysville, Washington",10/24/14,5,1,6
Trestle Trail bridge shooting,"Menasha, Wisconsin",5/3/15,3,1,4
Charleston Church Shooting (Emanuel African Methodist Episcopal Church shooting),"Charleston, South Carolina",6/17/15,9,1,10
Chattanooga military recruitment center,"Chattanooga, Tennessee",7/16/15,5,2,7
Umpqua Community College shooting,"Roseburg, Oregon",10/1/15,9,9,18
Colorado Springs shooting rampage,"Colorado Springs, Colorado",10/31/15,3,0,3
Planned Parenthood clinic,"Colorado Springs, Colorado",11/27/15,3,9,12
San Bernardino mass shooting (Inland Regional Center shooting),"San Bernardino, California",12/2/15,14,21,35
Kalamazoo shooting spree (Cracker Barrel shooting),"Kalamazoo County, Michigan",2/20/16,6,2,8
Excel Industries mass shooting,"Hesston, Kansas",2/25/16,3,14,17
Orlando nightclub massacre (Pulse nightclub shooting),"Orlando, Florida",6/12/16,49,53,102
Dallas police shooting,"Dallas, Texas",7/7/16,5,9,14
Baton Rouge police shooting,"Baton Rouge, Lousiana",7/17/16,3,3,6
Cascade Mall shooting,"Burlington, Washington",9/23/16,5,0,5
Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",1/6/17,5,6,11
Fresno downtown shooting,"Fresno, California",4/18/17,3,0,3
Rural Ohio nursing home shooting,"Kirkersville, Ohio",5/12/17,3,0,3
Florida awning manufacturer shooting (Fiamma office shooting),"Orlando, Florida",6/5/17,5,0,5
Pennsylvania supermarket shooting,"Tunkhannock, Pennsylvania",6/8/17,3,0,3
San Francisco UPS shooting,"San Francisco, California",6/14/17,3,2,5
Las Vegas Strip massacre (Route 91 Harvest festival shooting),"Las Vegas, Nevada",10/1/17,60,850,910
Edgewood businees park shooting,"Edgewood, Maryland",10/18/17,3,3,6
Walmart shooting in suburban Denver,"Thornton, Colorado",11/1/17,3,0,3
Texas First Baptist Church massacre,"Sutherland Springs, Texas",11/5/17,26,20,46
Rancho Tehama shooting spree,"Rancho Tehama, California",11/14/17,5,10,15
