Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA
1999,11,0.756097561,0.5479452055,0.6896551724,0.5035714286,0.5111111111,0.4,0.625,0.5576923077,0.696969697,0.5,0.4555555556,0.5961538462,0.5333333333,0.5,0.7407407407,0.7608695652,0.6428571429,0.5555555556,0.1428571429,0.5,0.6176470588,0.8947368421,0.6285714286,0.7857142857,0.4545454545,0.6486486486,0.7272727273,0.3392857143,0.6,0.376146789,0.6666666667,0.6,0.5656565657,0.6136363636,0.6875,0.5578947368,0.6666666667,0.7368421053,0.4,0.6140350877,0.5912408759,0.5,0.8571428571,0.6438356164,0.5616438356,0.625,0.5434782609,0.8,0.564764681382757
1999,12,0.8125,0.7291666667,0.875,0.5416666667,0.5625,0.4117647059,0.4285714286,0.5649350649,0.698630137,0.7142857143,0.4457831325,0.6470588235,0.52,0.5217391304,0.6296296296,0.7555555556,0.3333333333,0.4761904762,0.3333333333,0.6111111111,0.5714285714,0.7692307692,0.5555555556,0.4,0.5882352941,0.6666666667,0.5,0.3076923077,0.5384615385,0.4285714286,0.6578947368,0.3333333333,0.5054945055,0.7045454545,0.6153846154,0.580952381,0.3333333333,0.5862068966,0.375,0.6603773585,0.6296296296,0.5454545455,1,0.6666666667,0.6229508197,0.8095238095,0.5227272727,0.8,0.580369203061684
2000,1,0.7368421053,0.6575342466,0.6666666667,0.4271186441,0.6034482759,0.2941176471,0.5555555556,0.6223404255,0.701754386,0.4761904762,0.3298969072,0.6551724138,0.5862068966,0.5517241379,0.725,0.6923076923,0.625,0.5675675676,0.09090909091,0.612244898,0.4047619048,0.7037037037,0.6769230769,0.8125,0.6470588235,0.6285714286,0.7,0.2608695652,0.5161290323,0.3490566038,0.6338028169,0.3333333333,0.5744680851,0.5869565217,0.4871794872,0.6,0,0.7234042553,0.4444444444,0.6764705882,0.5939393939,0.625,0.6,0.6428571429,0.578125,0.7777777778,0.58,0.75,0.559701492537313
2000,2,0.679245283,0.6176470588,0.6785714286,0.5078740157,0.7959183673,0.3333333333,0.5,0.5159574468,0.65,0.8181818182,0.4337349398,0.6349206349,0.7857142857,0.7586206897,0.7826086957,0.7058823529,0.9090909091,0.4210526316,0.09677419355,0.5975609756,0.4117647059,0.7826086957,0.5614035088,0.75,0.5833333333,0.5,0.6,0.1842105263,0.4814814815,0.40625,0.6478873239,0.25,0.5064935065,0.6829268293,0.6285714286,0.5299145299,0.3333333333,0.6756756757,1,0.641509434,0.6184210526,0.7391304348,0.7142857143,0.6315789474,0.5555555556,0.6,0.4651162791,0.6666666667,0.563958513396716
2000,3,0.8125,0.4507042254,0.7407407407,0.5172413793,0.6,0.52,0.8,0.5,0.703125,0.6666666667,0.4782608696,0.5606060606,0.5172413793,0.71875,0.6382978723,0.7826086957,0.5454545455,0.4545454545,0.1724137931,0.4931506849,0.675,0.8275862069,0.6101694915,0.7333333333,0.4705882353,0.6,0.5,0.3518518519,0.5,0.4857142857,0.7323943662,0.625,0.5643564356,0.5961538462,0.5555555556,0.6333333333,0.8333333333,0.7058823529,0.4285714286,0.7272727273,0.6481481481,0.7727272727,0.5,0.6857142857,0.5151515152,0.8421052632,0.462962963,0.7777777778,0.583932853717026
2000,4,0.8571428571,0.6133333333,0.6666666667,0.4960629921,0.5272727273,0.2173913043,0.2857142857,0.5371428571,0.5952380952,0.5384615385,0.4571428571,0.7826086957,0.4642857143,0.5714285714,0.935483871,0.7368421053,0.4285714286,0.4489795918,0.2702702703,0.578313253,0.5526315789,0.7666666667,0.5106382979,0.5454545455,0.4705882353,0.6578947368,0.6428571429,0.1785714286,0.5185185185,0.3773584906,0.641025641,0.8,0.4695652174,0.6896551724,0.5909090909,0.5833333333,0.2,0.6666666667,0.3333333333,0.696969697,0.6748466258,0.4642857143,0.5,0.5689655172,0.6,0.7857142857,0.4333333333,0.5,0.554153094462541
2000,5,0.6530612245,0.701754386,0.7567567568,0.4333333333,0.5423728814,0.5789473684,0.6666666667,0.515,0.6621621622,0.6666666667,0.4672897196,0.5555555556,0.7058823529,0.5217391304,0.5897435897,0.7297297297,0.7777777778,0.5,0.2580645161,0.5294117647,0.5,0.7777777778,0.6129032258,0.6666666667,0.4,0.6285714286,0.4615384615,0.2711864407,0.6,0.362745098,0.6470588235,0.4285714286,0.4691358025,0.625,0.66,0.5847457627,0.4285714286,0.693877551,0.5714285714,0.7384615385,0.6421568627,0.696969697,0.8,0.5625,0.4444444444,0.68,0.4807692308,0.625,0.554998070243149
2000,6,0.775862069,0.7215189873,0.6538461538,0.4637096774,0.44,0.5357142857,0.375,0.6358381503,0.7215189873,0.7692307692,0.4239130435,0.6956521739,0.7368421053,0.5238095238,0.7727272727,0.5,0.6666666667,0.5714285714,0.2142857143,0.5072463768,0.4375,0.7307692308,0.65625,0.7,0.7647058824,0.3428571429,0.2857142857,0.306122449,0.6785714286,0.4742268041,0.72,0.6,0.5476190476,0.4545454545,0.7073170732,0.5555555556,0.75,0.5333333333,0.625,0.7325581395,0.6363636364,0.64,0.6666666667,0.65,0.5074626866,0.7272727273,0.4888888889,0.3333333333,0.579601990049751
2000,7,0.756097561,0.6486486486,0.6666666667,0.5714285714,0.5714285714,0.4166666667,0.625,0.6225165563,0.6944444444,0.3571428571,0.4382022472,0.5507246377,0.2916666667,0.6071428571,0.6097560976,0.64,0.7142857143,0.6341463415,0.4736842105,0.575,0.6052631579,0.72,0.578125,0.5714285714,0.7272727273,0.6666666667,0.6923076923,0.1666666667,0.4705882353,0.3863636364,0.6210526316,0.625,0.4175824176,0.5714285714,0.7,0.5533980583,0.25,0.5428571429,0.8333333333,0.58,0.7058823529,0.5,0.25,0.7466666667,0.55,0.85,0.5111111111,0.5833333333,0.579910532736885
2000,8,0.74,0.5510204082,0.6333333333,0.4821428571,0.5090909091,0.3076923077,0,0.6010928962,0.6818181818,0.7142857143,0.3936170213,0.6086956522,0.4857142857,0.5806451613,0.7446808511,0.6875,0.625,0.4385964912,0.3225806452,0.5285714286,0.4761904762,0.7826086957,0.6610169492,0.6153846154,0.5882352941,0.7096774194,0.6,0.2368421053,0.4666666667,0.3737373737,0.6363636364,0.5714285714,0.5882352941,0.5365853659,0.5,0.5480769231,0.3333333333,0.71875,0.8333333333,0.7258064516,0.5568862275,0.53125,1,0.5151515152,0.606557377,0.6086956522,0.4705882353,0.6666666667,0.551560647965231
